"NET Ranking","conferenceId","teamId","Wins","confWins","teamMarket","GP*","ATR2 FGA","ATR2 FGA/G","ATR2 FGA/G %ile","ATR2 FGA%","ATR2 FGA% %ile","ATR2 FG%","ATR2 FG% %ile","PAINT2 FGA","PAINT2 FGA/G","PAINT2 FGA/G %ile","PAINT2 FGA%","PAINT2 FGA% %ile","PAINT2 FG%","PAINT2 FG% %ile","MID2 FGA","MID2 FGA/G","MID2 FGA/G %ile","MID2 FGA%","MID2 FGA% %ile","MID2 FG%","MID2 FG% %ile","ATB3 FGA","ATB3 FGA/G","ATB3 FGA/G %ile","ATB3 FGA%","ATB3 FGA% %ile","ATB3 FG%","ATB3 FG% %ile","C3 FGA","C3 FGA/G","C3 FGA/G %ile","C3 FGA%","C3 FGA% %ile","C3 FG%","C3 FG% %ile","Rim + 3s FGA","Rim + 3s FGA/G","Rim + 3s FGA/G %ile","Rim + 3s FGA%","Rim + 3s FGA% %ile","Rim + 3s eFG%","Rim + 3s eFG% %ile"
"","55","103834","2","2","Loyola Maryland","7","116","16.57143","0.49","0.2673","0.3","0.7069","0.97","139","19.85714","1","0.3203","1","0.4029","0.5","42","6","0.22","0.0968","0.17","0.4524","0.98","112","16","0.47","0.2581","0.28","0.3214","0.39","25","3.57143","0.1","0.0576","0.07","0.28","0.07","253","36.14286","0.3","0.5829","0.11","0.5791","0.75"
"","54","103833","11","5","Loyola Chicago","16","296","18.5","0.75","0.3558","0.91","0.6791","0.89","145","9.0625","0.21","0.1743","0.36","0.3793","0.33","86","5.375","0.16","0.1034","0.21","0.3605","0.6","240","15","0.31","0.2885","0.53","0.3833","0.96","65","4.0625","0.22","0.0781","0.35","0.3231","0.26","601","37.5625","0.42","0.7224","0.8","0.6165","0.97"
"","53","103831","13","8","Louisville","20","329","16.45","0.46","0.2871","0.47","0.6292","0.54","247","12.35","0.71","0.2155","0.73","0.4049","0.51","223","11.15","0.84","0.1946","0.86","0.3587","0.58","247","12.35","0.06","0.2155","0.04","0.3036","0.17","100","5","0.49","0.0873","0.51","0.32","0.23","676","33.8","0.14","0.5899","0.13","0.5436","0.3"
"","88","103830","24","12","Louisiana Tech","31","473","15.25806","0.3","0.264","0.28","0.6385","0.62","439","14.16129","0.91","0.245","0.9","0.4305","0.72","215","6.93548","0.34","0.12","0.34","0.3302","0.33","535","17.25806","0.6","0.2985","0.6","0.3551","0.78","129","4.16129","0.24","0.072","0.22","0.3023","0.16","1138","36.70968","0.36","0.635","0.32","0.5672","0.62"
"","62","103828","17","10","Louisiana","24","370","15.41667","0.32","0.2555","0.23","0.673","0.86","341","14.20833","0.91","0.2355","0.86","0.4194","0.63","262","10.91667","0.81","0.1809","0.78","0.313","0.2","345","14.375","0.23","0.2383","0.14","0.371","0.91","130","5.41667","0.63","0.0898","0.57","0.3154","0.22","845","35.20833","0.23","0.5836","0.12","0.5947","0.88"
"","37","103826","12","11","Longwood","25","445","17.8","0.69","0.327","0.8","0.6202","0.46","282","11.28","0.56","0.2072","0.66","0.3723","0.29","117","4.68","0.08","0.086","0.1","0.3162","0.23","378","15.12","0.32","0.2777","0.44","0.3307","0.51","137","5.48","0.65","0.1007","0.73","0.4015","0.81","962","38.48","0.53","0.7068","0.72","0.5691","0.64"
"","40","103825","6","4","Long Beach St.","18","258","14.33333","0.2","0.2464","0.17","0.6395","0.63","292","16.22222","0.98","0.2789","0.98","0.4315","0.74","144","8","0.48","0.1375","0.46","0.3333","0.36","273","15.16667","0.33","0.2607","0.31","0.3516","0.75","80","4.44444","0.32","0.0764","0.3","0.3875","0.73","611","33.94444","0.15","0.5836","0.12","0.5818","0.78"
"","62","103822","11","7","Little Rock","25","377","15.08","0.27","0.2816","0.43","0.6472","0.69","294","11.76","0.62","0.2196","0.76","0.4286","0.71","220","8.8","0.6","0.1643","0.68","0.4318","0.96","348","13.92","0.19","0.2599","0.3","0.3161","0.31","97","3.88","0.17","0.0724","0.23","0.3093","0.19","825","33","0.11","0.6161","0.21","0.5503","0.39"
"","1","103821","5","4","Lipscomb","12","247","20.58333","0.9","0.3884","0.97","0.5992","0.26","102","8.5","0.15","0.1604","0.23","0.3725","0.29","41","3.41667","0.02","0.0645","0.02","0.2683","0.04","180","15","0.31","0.283","0.49","0.3","0.14","66","5.5","0.66","0.1038","0.78","0.4091","0.87","493","41.08333","0.75","0.7752","0.96","0.5467","0.34"
"","1","103811","22","10","Liberty","23","341","14.82609","0.24","0.275","0.37","0.6452","0.67","219","9.52174","0.28","0.1766","0.37","0.4886","0.96","97","4.21739","0.04","0.0782","0.06","0.433","0.96","450","19.56522","0.87","0.3629","0.96","0.3622","0.84","131","5.69565","0.72","0.1056","0.81","0.4962","1","924","40.17391","0.68","0.7452","0.88","0.6098","0.95"
"","55","103805","3","3","Lehigh","13","229","17.61538","0.66","0.2891","0.49","0.607","0.34","210","16.15385","0.98","0.2652","0.96","0.4","0.47","153","11.76923","0.89","0.1932","0.85","0.3268","0.3","159","12.23077","0.05","0.2008","0.03","0.3396","0.64","41","3.15385","0.05","0.0518","0.04","0.2683","0.05","429","33","0.11","0.5417","0.03","0.5513","0.41"
"","72","103791","10","7","Lamar University","28","486","17.35714","0.61","0.3022","0.61","0.5947","0.23","326","11.64286","0.59","0.2027","0.62","0.3926","0.4","351","12.53571","0.94","0.2183","0.94","0.3248","0.29","316","11.28571","0.02","0.1965","0.02","0.3133","0.27","127","4.53571","0.35","0.079","0.37","0.3071","0.18","931","33.25","0.12","0.579","0.1","0.5344","0.23"
"","55","103786","8","8","Lafayette","12","129","10.75","0.01","0.1697","0.01","0.7519","0.99","182","15.16667","0.96","0.2395","0.88","0.4121","0.56","153","12.75","0.95","0.2013","0.89","0.3725","0.7","229","19.08333","0.83","0.3013","0.63","0.3493","0.71","67","5.58333","0.68","0.0882","0.52","0.3731","0.63","425","35.41667","0.24","0.5592","0.06","0.5988","0.9"
"","62","103784","7","5","ULM","26","405","15.57692","0.34","0.2766","0.38","0.5778","0.1","218","8.38462","0.13","0.1489","0.15","0.3624","0.19","270","10.38462","0.77","0.1844","0.81","0.3778","0.74","452","17.38462","0.63","0.3087","0.7","0.3363","0.59","118","4.53846","0.35","0.0806","0.41","0.3559","0.49","976","37.53846","0.42","0.6667","0.51","0.5379","0.25"
"","4","103782","9","6","La Salle","24","371","15.45833","0.32","0.2667","0.3","0.6523","0.73","295","12.29167","0.7","0.2121","0.71","0.4136","0.58","178","7.41667","0.4","0.128","0.4","0.3202","0.25","414","17.25","0.6","0.2976","0.59","0.3068","0.21","133","5.54167","0.67","0.0956","0.67","0.4286","0.94","918","38.25","0.51","0.66","0.46","0.5643","0.58"
"","89","103779","19","11","LSU","29","494","17.03448","0.56","0.271","0.34","0.6802","0.9","381","13.13793","0.82","0.209","0.67","0.4173","0.61","274","9.44828","0.69","0.1503","0.55","0.3905","0.83","549","18.93103","0.81","0.3012","0.63","0.3497","0.72","124","4.27586","0.26","0.068","0.17","0.3387","0.36","1168","40.27586","0.69","0.6407","0.35","0.5882","0.83"
"","3","103777","9","9","LIU","18","340","18.88889","0.78","0.2944","0.54","0.6294","0.54","211","11.72222","0.61","0.1827","0.44","0.3934","0.41","137","7.61111","0.44","0.1186","0.33","0.3504","0.49","364","20.22222","0.9","0.3152","0.75","0.2637","0.02","102","5.66667","0.71","0.0883","0.53","0.3725","0.63","807","44.83333","0.92","0.6987","0.69","0.5143","0.08"
"","89","103765","9","8","Kentucky","25","298","11.92","0.04","0.2019","0.02","0.6174","0.43","363","14.52","0.93","0.2459","0.9","0.4408","0.81","338","13.52","0.97","0.229","0.96","0.3284","0.31","396","15.84","0.45","0.2683","0.37","0.3384","0.62","80","3.2","0.05","0.0542","0.05","0.325","0.29","775","31","0.04","0.5251","0.01","0.5471","0.35"
"","2","103763","15","12","Kent St.","22","428","19.45455","0.83","0.3163","0.72","0.6472","0.69","234","10.63636","0.46","0.1729","0.34","0.3846","0.36","153","6.95455","0.34","0.1131","0.3","0.3333","0.36","418","19","0.82","0.3089","0.71","0.3254","0.44","120","5.45455","0.64","0.0887","0.54","0.3667","0.59","966","43.90909","0.9","0.714","0.75","0.5663","0.6"
"","1","103762","5","2","Kennesaw St.","19","294","15.47368","0.32","0.2784","0.4","0.5918","0.21","164","8.63158","0.17","0.1553","0.19","0.3963","0.43","207","10.89474","0.8","0.196","0.87","0.3188","0.24","277","14.57895","0.27","0.2623","0.32","0.2816","0.05","113","5.94737","0.78","0.107","0.83","0.3717","0.62","685","36.05263","0.3","0.6487","0.38","0.5168","0.1"
"","60","103758","9","4","Kansas St.","28","476","17","0.56","0.3117","0.69","0.6429","0.66","204","7.28571","0.05","0.1336","0.08","0.3235","0.04","223","7.96429","0.47","0.146","0.51","0.3049","0.15","438","15.64286","0.41","0.2868","0.52","0.3059","0.2","185","6.60714","0.89","0.1212","0.91","0.2865","0.1","1100","39.28571","0.6","0.7204","0.78","0.5332","0.21"
"","60","103757","21","12","Kansas","29","526","18.13793","0.71","0.3009","0.6","0.6198","0.46","385","13.27586","0.84","0.2203","0.77","0.4026","0.5","201","6.93103","0.34","0.115","0.31","0.3085","0.17","479","16.51724","0.54","0.274","0.43","0.3319","0.52","157","5.41379","0.62","0.0898","0.57","0.3503","0.45","1162","40.06897","0.67","0.6648","0.5","0.5568","0.5"
"","16","103745","13","8","James Madison","17","266","15.64706","0.35","0.2679","0.31","0.5977","0.25","205","12.05882","0.65","0.2064","0.65","0.4585","0.9","111","6.52941","0.3","0.1118","0.29","0.3874","0.81","324","19.05882","0.83","0.3263","0.83","0.3364","0.59","87","5.11765","0.53","0.0876","0.51","0.3218","0.25","677","39.82353","0.65","0.6818","0.61","0.5384","0.26"
"","15","103744","17","12","Jacksonville St.","22","381","17.31818","0.6","0.3043","0.63","0.6772","0.88","235","10.68182","0.47","0.1877","0.49","0.417","0.6","134","6.09091","0.23","0.107","0.23","0.3433","0.42","405","18.40909","0.75","0.3235","0.81","0.3605","0.82","97","4.40909","0.31","0.0775","0.33","0.4021","0.83","883","40.13636","0.68","0.7053","0.71","0.6065","0.94"
"","1","103743","10","5","Jacksonville","21","363","17.28571","0.59","0.3179","0.73","0.6061","0.33","184","8.7619","0.18","0.1611","0.24","0.4457","0.84","151","7.19048","0.37","0.1322","0.44","0.2914","0.09","368","17.52381","0.64","0.3222","0.8","0.3342","0.56","76","3.61905","0.11","0.0665","0.15","0.2763","0.07","807","38.42857","0.53","0.7067","0.72","0.5403","0.27"
"","39","103742","11","10","Jackson St.","16","227","14.1875","0.18","0.2531","0.21","0.6167","0.42","197","12.3125","0.71","0.2196","0.76","0.3452","0.11","221","13.8125","0.98","0.2464","0.99","0.267","0.04","217","13.5625","0.13","0.2419","0.16","0.3502","0.73","35","2.1875","0.01","0.039","0.01","0.3714","0.62","479","29.9375","0.02","0.534","0.02","0.571","0.67"
"","60","103735","2","0","Iowa St.","24","333","13.875","0.17","0.2357","0.12","0.6366","0.61","238","9.91667","0.35","0.1684","0.3","0.3571","0.18","296","12.33333","0.92","0.2095","0.91","0.402","0.91","396","16.5","0.54","0.2803","0.46","0.3182","0.35","150","6.25","0.82","0.1062","0.82","0.3267","0.3","879","36.625","0.35","0.6221","0.25","0.5398","0.26"
"","73","103734","22","14","Iowa","31","641","20.67742","0.9","0.3269","0.8","0.6474","0.69","286","9.22581","0.24","0.1458","0.13","0.3951","0.42","249","8.03226","0.48","0.127","0.39","0.3775","0.73","657","21.19355","0.95","0.335","0.87","0.376","0.93","127","4.09677","0.23","0.0648","0.13","0.4252","0.93","1426","46","0.94","0.7272","0.83","0.6076","0.94"
